File,|V|,|E|,|Instances|,Avg. Types,SD Types,Avg. Props,SD Props.,Avg. Inc. Props,SD Inc. Props.,Avg. Sources,SD Sources,Unique Types,Unique Props.,Unique Sources
iteration-37.nq.gz,51154,230499,44422,1.3829633965152401,0.883250851915789,5.188847868173427,3.652326441382617,5.191068171069523,3.6557522366596644,1.2409166629147719,0.48343199514823076,10,10,50
iteration-12.nq.gz,23623,162391,21468,1.3767467859139184,0.8808479153138447,7.564328302589901,5.354622719722241,7.567148182665424,5.3673282425799,1.339761505496553,0.5697068069273991,10,10,50
iteration-29.nq.gz,44076,233579,38761,1.3856195660586672,0.8842207290744121,6.026134516653337,4.37381679551318,6.021318828624459,4.365055115256146,1.2800237351977504,0.518998027957901,10,10,50
iteration-5.nq.gz,15167,171070,13447,1.3965940358444262,0.8841566752914608,12.72179668327508,12.058890477455085,12.667160310995927,12.07582757700712,1.5100765970104857,0.7304317210240122,10,10,50
iteration-28.nq.gz,43032,232461,37910,1.386467950408863,0.8847734205802763,6.131917699815352,4.464146213267738,6.123195659045411,4.4663506599746325,1.2843840675283567,0.5232917181797323,10,10,50
iteration-18.nq.gz,31490,194113,28191,1.393317016068958,0.8856612004454106,6.885637260118478,5.169920665686967,6.902040961456407,5.169620137590071,1.3127239189812352,0.5502336945272339,10,10,50
iteration-40.nq.gz,53328,224745,46050,1.3806948968512487,0.8845033052074753,4.880456026058632,3.388576678976472,4.886716966362984,3.385740444801613,1.2268186753528774,0.46757811417367057,10,10,50
iteration-25.nq.gz,39857,225798,35250,1.3909787234042552,0.8867428842731943,6.405617021276596,4.713964430036748,6.394370185772542,4.730473424214381,1.2992056737588653,0.5363728394936204,10,10,50
iteration-36.nq.gz,50363,231711,43821,1.3863216266173752,0.8829251726381118,5.28767029506401,3.7278900339663816,5.2874289756520545,3.732490692251214,1.2451564318477442,0.4875690387301848,10,10,50
iteration-16.nq.gz,28915,181649,25951,1.3849177295672614,0.886535350086438,6.999691726715733,5.185012911190091,6.998073737334823,5.1951621771487835,1.3123964394435668,0.5503580607620626,10,10,50
iteration-14.nq.gz,26274,171618,23744,1.3848551212938005,0.8859108409393263,7.227847035040432,5.300088949393352,7.231806497829843,5.314038502145377,1.3202914420485174,0.5545231639168948,10,10,50
iteration-31.nq.gz,46006,234888,40352,1.3850366772402856,0.8821109201785482,5.820975416336241,4.182757239986309,5.816939078751857,4.179523938014706,1.2709159397303726,0.5109416149944164,10,10,50
iteration-9.nq.gz,19780,170810,18055,1.3839933536416504,0.884738572511392,9.460537247299916,6.881509436815588,9.461061260662458,6.881758341928702,1.416338964275824,0.6319027021255723,10,10,50
iteration-49.nq.gz,58547,247797,50192,1.3768130379343322,0.8833855778575618,4.93698198916162,3.731947499793204,4.933738178198109,3.7433690653372684,1.228522473700988,0.4725246565596603,10,10,50
iteration-15.nq.gz,27598,176620,24860,1.3847948511665327,0.8837282168701971,7.1045856798069185,5.246559908951723,7.109161165673805,5.238591559559443,1.3164119066773934,0.5533160454038314,10,10,50
iteration-33.nq.gz,47858,234626,41839,1.3862425010157986,0.8798397334386338,5.607830015057721,3.9984738444922714,5.603544219149292,4.005336753101391,1.2592079160591791,0.500624389657429,10,10,50
iteration-21.nq.gz,35223,209820,31365,1.3931771082416706,0.8835485584811094,6.68962219033955,5.017811323731206,6.696240505521159,5.010077344335164,1.305722939582337,0.5435130465463299,10,10,50
iteration-30.nq.gz,45043,234648,39563,1.3820741602001871,0.8846262957307308,5.930996132750297,4.294658565389285,5.926651848858355,4.287066609394428,1.2749285948992746,0.5150860052782754,10,10,50
iteration-32.nq.gz,46953,235023,41135,1.38684818281269,0.8816578975303292,5.713455694663912,4.090050845363738,5.713039039331032,4.08859369727477,1.2655646043515254,0.5069343449577074,10,10,50
iteration-0.nq.gz,10000,96173,9477,1.3829270866307903,0.8859970530134201,10.148042629524111,6.143231619729736,10.143761206623774,6.143496019959587,1.4504590060145617,0.6391925454787691,10,10,50
